incident_id,change_id,description,deployed_at,correlation_score,implementing_team
INC001,CHG001,logging bulk import job,2026-01-10T01:04:58.011392Z,0.51,identity-team
INC001,CHG002,database template engine update,2026-01-12T16:38:58.011392Z,0.66,devops-team
INC002,CHG003,elasticsearch routing rules update,2026-01-07T04:27:58.011392Z,0.55,security-team
INC003,CHG004,auth mapping template update,2026-01-10T14:58:58.011392Z,0.68,dba-team
INC003,CHG005,session cache TTL configuration change,2026-01-08T16:42:58.011392Z,0.73,platform-team
INC004,CHG006,kubernetes client library update,2026-01-12T15:37:58.011392Z,0.5,infra-team
INC005,CHG007,search cluster version upgrade to 5.8,2026-01-11T03:18:58.011392Z,0.47,search-team
INC006,CHG008,notification service config update,2026-01-07T04:14:58.011392Z,0.8,platform-team
INC006,CHG009,user connection pool resize,2026-01-10T14:02:58.011392Z,0.93,platform-team
INC007,CHG010,database rate limiting adjustment,2026-01-10T20:40:58.011392Z,0.61,security-team
INC008,CHG011,elasticsearch cluster version upgrade to 2.8,2026-01-07T20:27:58.011392Z,0.67,payments-team
INC009,CHG012,payment threshold adjustment,2026-01-10T06:49:58.011392Z,0.67,platform-team
INC009,CHG013,fluentd template engine update,2026-01-13T20:21:58.011392Z,0.57,identity-team
INC010,CHG014,cdn batch processing enhancement,2026-01-08T04:20:58.011392Z,0.5,devops-team
INC011,CHG015,rabbitmq batch processing enhancement,2026-01-12T00:11:58.011392Z,0.48,infra-team
INC011,CHG016,Database schema update,2026-01-07T16:24:58.011392Z,0.93,platform-team
INC012,CHG017,Batch reporting job schedule change,2026-01-07T05:13:58.011392Z,0.84,platform-team
INC013,CHG018,elasticsearch compilation pipeline update,2026-01-14T18:24:58.011392Z,0.52,dba-team
INC014,CHG019,api-gateway batch processing enhancement,2026-01-10T04:23:58.011392Z,0.68,security-team
INC015,CHG020,load-balancer SDK upgrade to v5.4.7,2026-01-12T10:57:58.011392Z,0.82,identity-team
INC015,CHG021,fulfillment feature deployment,2026-01-12T03:48:58.011392Z,0.89,devops-team
INC016,CHG022,Batch reporting job schedule change,2026-01-09T09:10:58.011392Z,0.75,api-team
INC016,CHG023,order version upgrade,2026-01-11T14:19:58.011392Z,0.6,security-team
INC017,CHG024,kubernetes feature deployment,2026-01-13T17:24:58.011392Z,0.94,search-team
INC018,CHG025,fluentd feature deployment,2026-01-04T12:21:58.011392Z,0.79,identity-team
INC019,CHG026,logging timeout configuration change,2026-01-10T11:20:58.011392Z,0.67,dba-team
INC020,CHG027,auth timeout configuration change,2026-01-10T04:29:58.011392Z,0.78,devops-team
INC020,CHG028,search service config update,2026-01-05T03:14:58.011392Z,0.54,security-team
INC021,CHG029,product bulk import job,2026-01-09T00:19:58.011392Z,0.74,payments-team
INC021,CHG030,Batch reporting job schedule change,2026-01-09T09:53:58.011392Z,0.48,devops-team
INC022,CHG031,fluentd routing rules update,2026-01-08T15:09:58.011392Z,0.74,devops-team
INC022,CHG032,fluentd log parsing configuration update,2026-01-08T04:39:58.011392Z,0.72,dba-team
INC023,CHG033,oauth-provider rate limiting adjustment,2026-01-13T08:52:58.011392Z,0.71,payments-team
INC023,CHG034,order timeout configuration change,2026-01-14T04:51:58.011392Z,0.84,security-team
INC024,CHG035,CI/CD pipeline image caching update,2026-01-06T21:48:58.011392Z,0.84,payments-team
INC024,CHG036,read-replica consumer prefetch configuration,2026-01-14T13:21:58.011392Z,0.75,platform-team
INC025,CHG037,Load balancer api-gateway configuration update,2026-01-12T05:02:58.011392Z,0.93,api-team
INC025,CHG038,Node resource limits adjustment,2026-01-03T19:21:58.011392Z,0.54,identity-team
INC026,CHG039,oauth-provider consumer prefetch configuration,2026-01-08T00:22:58.011392Z,0.58,dba-team
INC027,CHG040,CI/CD pipeline image caching update,2026-01-07T00:30:58.011392Z,0.56,platform-team
INC027,CHG041,container-registry threshold adjustment,2026-01-08T14:54:58.011392Z,0.51,security-team
INC028,CHG042,load-balancer routing rules update,2026-01-11T10:04:58.011392Z,0.89,observability-team
INC028,CHG043,load-balancer consumer prefetch configuration,2026-01-05T21:28:58.011392Z,0.87,ops-team
INC029,CHG044,database timeout configuration change,2026-01-05T16:47:58.011392Z,0.91,dba-team
INC029,CHG045,logging compilation pipeline update,2026-01-14T12:52:58.011392Z,0.57,api-team
INC030,CHG046,cache timeout configuration change,2026-01-09T21:05:58.011392Z,0.92,security-team
INC031,CHG047,fulfillment version upgrade,2026-01-10T20:43:58.011392Z,0.63,observability-team
INC031,CHG048,frontend service config update,2026-01-12T07:36:58.011392Z,0.88,devops-team
INC032,CHG049,read-replica cache TTL configuration change,2026-01-05T16:22:58.011392Z,0.96,dba-team
INC033,CHG050,api-gateway template engine update,2026-01-07T17:07:58.011392Z,0.9,ops-team
INC034,CHG051,cdn compilation pipeline update,2026-01-13T18:26:58.011392Z,0.52,devops-team
INC035,CHG052,kubernetes storage expansion,2026-01-08T04:37:58.011392Z,0.68,api-team
INC035,CHG053,session routing rules update,2026-01-07T14:00:58.011392Z,0.71,observability-team
INC036,CHG054,rate-limiter bulk import job,2026-01-13T04:13:58.011392Z,0.76,infra-team
